Identifiant;Marque;Nom;Latitude;Longitude
56270004;Casino;CASINO SUPERMARCHE;47.73414;-3.43016
56300002;Total;SARL IZANIC;48.0823648551;-2.94583264244
56390001;Carrefour Market;Carrefour Market;47.75549;-2.84326
57260003;Avia;STATION DE LA SEILLE;48.8124067967;6.71509665476
57400005;Esso Express;ESSO SARREBOURGEOISE;48.73492;7.04592
57170002;Esso Express;ESSO LA SEILLE;48.82376;6.50716
57230003;Intermarché;INTERMARCHE BITCHE;49.04679;7.42645
57370005;Avia;STATION AVIA AC BOUTIQUE;;
59190004;Système U;SUPER U HAZEBROUCK;50.73079;2.5437
59223002;Total Access;RELAIS RONCQ;50.7538761012;3.13512384355
59380004;Total Access;STATION TOTAL ACCESS DU BIEREN DYCK;50.96273;2.4329
57470002;Atac;SUPERMARCHE ATAC;49.13259;6.77726
59113005;BP;BP A1 AIRE DE PHALEMPIN;50.52753;3.04416
57430001;Système U;STATION U;48.99069;7.02796
59300005;Esso Express;ESSO VALENCIENNES;50.36342;3.52998
59430001;Carrefour;CARREFOUR SAINT POL SUR MER;51.02749;2.34372
59650001;Carrefour Market;Carrefour Market;50.62625;3.14909
59640001;Total Access;RELAIS DU PONT LOBY;51.0242239528;2.36047848455
60530002;Netto;SA FOUDY;49.23646;2.30124
59480002;Intermarché;INTERMARCHE LA BASSEE;50.53008;2.80448
60290001;Total Access;RELAIS DU TIRELET;49.33673;2.43351
60510001;Intermarché;INTERMARCHE BRESLES;49.41938;2.25509
62223001;Leclerc;NICOLADIS;50.3039378401;2.7890932052
60000002;Total;RELAIS FRANC MARCHE;49.436133752;2.08521809609
60300006;Total Access;Relais Total Access Néflier;49.1610849367;2.23112194952
60440001;Intermarché;INTERMARCHE NANTEUIL LE HAUDOUIN;49.136766363;2.80336744688
62012001;Auchan;Auchan;50.3005643241;2.73552528488
62128006;Carrefour Contact;CARREFOUR CONTACT;50.19898;2.88315
62300005;Esso Express;ESSO STE BARBE;50.42702;2.81944
60500002;Esso Express;ESSO CHANTILLY;49.17802;2.45555
62114002;Total;GARAGE DE LA GOHELLE;50.45509;2.68353
62147004;Intermarché;INTERMARCHE CONTACT;50.11131;3.03771
63460002;Esso;SARL HERVIER;45.98578;3.08724
63940001;Indépendant sans enseigne;SARL GARAGE GRENIER;45.48106;3.72648
64150003;Total;SARL GGE PAMBRUN;43.3901862691;-0.580183656923
62460002;Carrefour Market;CARREFOUR MARKET ERCAVITO;50.4686902028;2.50274075639
62530001;Intermarché;INTERMARCHE HERSIN COUPIGNY;50.452;2.63671
62780003;Intermarché;INTERMARCHE CUCQ;50.4946;1.59569
63300002;Total;RICOU;45.85531;3.50831
62630002;Esso;STATION ESSO;50.51122;1.64565
62881001;CORA;CORA LENS 2;50.46172;2.82749
63100007;Leclerc;BREZET Centre E.Leclerc;45.78049;3.13629
64170001;Total;EURL FERREIRA;43.4016478401;-0.587442421982
63430003;Avia;GARAGE GAYARD EURL;45.79827;3.24054
63500003;Total Access;RELAIS TOTAL ACCESS DU STADE;45.5537009095;3.24943759778
64800001;Système U;SUPER U;43.17994;-0.26411
66270001;Intermarché;INTERMARCHE LE SOLER;42.68555;2.81296
67160001;Supermarché Match;SUPERMARCHES MATCH  WISSEMBOURG;49.0268909254;7.94643951956
67260001;Total;RELAIS DE KESKASTEL EST;48.97417;7.06519
